ra,dec
194.8282835,-3.6794786
196.5518227,-3.078121
195.2618798,-3.1039903
196.009782,-3.3395735
195.8133518,-3.523477
195.0128537,-3.5470432
195.5827062,-2.0411339
195.3387548,-1.9693586
195.7083927,-2.4439301
194.7277357,-0.9727257
194.8367615,-0.6394534
193.6909269,-2.0540538
194.6773702,-1.8480386
192.7105038,-1.5921177
127.3397222,38.1933109
127.4155836,38.6108903
127.6742491,38.25543
128.0494679,38.2510406
128.354536,38.1521653
127.6226949,38.3518806
126.8306428,38.2326944
126.6162699,38.2950225
125.6124666,38.6054438
125.3084351,38.6922306
126.4991116,38.4773739
125.7418448,38.9279822
126.3700262,38.1780656
126.4280013,39.9056199
125.9499061,40.4408598
126.0378699,39.951072
126.2026348,40.6629404
126.8750205,40.5576172
127.118342,40.5928757
126.7968833,40.4588866
126.6386002,40.816425
126.7130548,40.5444929
127.7192423,40.5181766
127.5595402,40.3363603
127.7397771,40.550118
127.9826051,40.4181983
127.8404559,40.4222505
128.3063014,39.7655557
128.0922455,40.0643235
128.3625137,40.034656
127.10347,40.18576
127.559742,40.1550453
127.1457775,40.036195
128.2536486,40.597137
127.8441074,40.6603078
127.838567,40.5519952
128.04156,40.78069
128.2982438,40.3828853
128.1062389,38.8434267
127.2053775,39.2947728
127.35703,39.18933
127.4396963,39.0872994
127.3085963,39.257226
127.2590024,39.0518569
127.5284,39.003023
127.0675218,39.5043273
126.9461964,39.5470797
127.5979088,38.9317214
127.4203636,38.8782996
127.4667658,38.7282671
127.8827691,39.6192429
128.1668961,39.3805689
128.0278593,39.0166573
