col1,2MASS
2MASXJ12254326+0425053,12254326+0425053
2MASXJ13081560+0429095,13081560+0429095
2MASXJ13181624+0427512,13181624+0427512
2MASXJ14330467+0409134,14330467+0409134
2MASXJ15071294+0401061,15071294+0401061
2MASXJ15101616+0431498,15101616+0431498
2MASXJ15113892+0433359,15113892+0433359
2MASXJ15114648+0439239,15114648+0439239
2MASXJ15135771+0445431,15135771+0445431
2MASXJ15205177+0423281,15205177+0423281
2MASXJ15332176+0456023,15332176+0456023
2MASXJ21074538+0435252,1074538+0435252
2MASXJ21234066+0428015,1234066+0428015
2MASXJ21243200+0417136,1243200+0417136
2MASXJ21414138+0406167,1414138+0406167
2MASXJ21423199+0400300,1423199+0400300
2MASXJ22383387+0458013,383387+0458013
2MASXJ22581634+0433369,581634+0433369
2MASXJ22594893+0446255,594893+0446255
2MASXJ23345358+0453155,3345358+0453155
2MASXJ23584455+0420055,3584455+0420055
2MASXJ00065723+0306094,00065723+0306094
2MASXJ00074331+0321385,00074331+0321385
2MASXJ00161200+0300373,00161200+0300373
2MASXJ01144198+0342057,01144198+0342057
2MASXJ01180287+0358235,01180287+0358235
2MASXJ01493139+0349453,01493139+0349453
2MASXJ01494495+0346262,01494495+0346262
2MASXJ02235593+0328214,02235593+0328214
2MASXJ02272526+0315074,02272526+0315074
2MASXJ02295709+0321451,02295709+0321451
2MASXJ02403269+0323273,02403269+0323273
2MASXJ02411255+0302109,02411255+0302109
2MASXJ02464490+0328046,02464490+0328046
2MASXJ02550922+0346482,02550922+0346482
2MASXJ03121183+0310460,03121183+0310460
2MASXJ03181746+0307141,03181746+0307141
2MASXJ03343761+0335349,03343761+0335349
2MASXJ03370870+0357229,03370870+0357229
2MASXJ07174050+0305174,07174050+0305174
2MASXJ08072365+0353016,08072365+0353016
2MASXJ09073666+0323347,09073666+0323347
2MASXJ09281222+0324304,09281222+0324304
2MASXJ10164850+0349291,10164850+0349291
2MASXJ10225436+0303033,10225436+0303033
2MASXJ10381812+0356166,10381812+0356166
2MASXJ10513389+0339532,10513389+0339532
2MASXJ11122733+0346168,11122733+0346168
2MASXJ11214934+0306599,11214934+0306599
2MASXJ11223399+0314378,11223399+0314378
2MASXJ12015830+0320122,12015830+0320122
2MASXJ12034906+0332535,12034906+0332535
2MASXJ12310702+0307496,12310702+0307496
2MASXJ12442724+0331102,12442724+0331102
2MASXJ13043883+0345420,13043883+0345420
2MASXJ13074666+0317454,13074666+0317454
2MASXJ13121603+0337064,13121603+0337064
2MASXJ14393093+0340149,14393093+0340149
2MASXJ14393976+0343153,14393976+0343153
2MASXJ14395699+0349323,14395699+0349323
2MASXJ14401636+0331121,14401636+0331121
2MASXJ14421686+0348451,14421686+0348451
2MASXJ14460987+0303282,14460987+0303282
2MASXJ15100510+0309118,15100510+0309118
2MASXJ15123368+0304252,15123368+0304252
2MASXJ15131236+0315030,15131236+0315030
2MASXJ16081619+0357385,16081619+0357385
2MASXJ21253420+0344078,1253420+0344078
2MASXJ21270197+0330189,1270197+0330189
2MASXJ21290509+0343326,1290509+0343326
2MASXJ21523437+0326546,1523437+0326546
2MASXJ21585259+0345413,1585259+0345413
2MASXJ22262720+0328214,62720+0328214
2MASXJ22411042+0316123,411042+0316123
2MASXJ23053862+0303334,3053862+0303334
2MASXJ23252460+0347507,3252460+0347507
2MASXJ23302115+0324017,3302115+0324017
2MASXJ23343395+0337435,3343395+0337435
2MASXJ23433173+0339216,3433173+0339216
2MASXJ00453063+0238066,00453063+0238066
2MASXJ01024962+0221232,01024962+0221232
2MASXJ01064126+0234527,01064126+0234527
2MASXJ01073281+0211291,01073281+0211291
2MASXJ01084326+0211312,01084326+0211312
2MASXJ01085991+0228435,01085991+0228435
2MASXJ01144223+0225197,01144223+0225197
2MASXJ02084570+0242442,02084570+0242442
2MASXJ02384435+0213526,02384435+0213526
2MASXJ02384983+0202436,02384983+0202436
2MASXJ02402858+0228433,02402858+0228433
2MASXJ02405914+0252089,02405914+0252089
2MASXJ03275715+0236549,03275715+0236549
2MASXJ03324232+0219169,03324232+0219169
2MASXJ03334475+0256030,03334475+0256030
2MASXJ09071467+0226340,09071467+0226340
2MASXJ09253338+0206374,09253338+0206374
2MASXJ09254746+0205224,09254746+0205224
2MASXJ09294572+0212252,09294572+0212252
2MASXJ11022496+0227430,11022496+0227430
2MASXJ11083381+0251295,11083381+0251295
2MASXJ11142264+0234314,11142264+0234314
2MASXJ11142878+0242154,11142878+0242154
2MASXJ11182341+0231182,11182341+0231182
2MASXJ11213177+0245062,11213177+0245062
2MASXJ11213813+0254119,11213813+0254119
2MASXJ11214046+0256359,11214046+0256359
2MASXJ11264743+0223136,11264743+0223136
2MASXJ11283197+0205312,11283197+0205312
2MASXJ11340387+0258245,11340387+0258245
2MASXJ11492646+0246164,11492646+0246164
