col1,2MASS
2MASXJ15052199+0309016,15052199+0309016
2MASXJ15133508+0331001,15133508+0331001
2MASXJ16081534+0307225,16081534+0307225
2MASXJ21132222+0313353,1132222+0313353
2MASXJ21335501+0305136,1335501+0305136
2MASXJ22341565+0335140,341565+0335140
2MASXJ22475641+0355283,475641+0355283
2MASXJ22480576+0355423,480576+0355423
2MASXJ22494771+0306045,494771+0306045
2MASXJ23054830+0332425,3054830+0332425
2MASXJ23211587+0354379,3211587+0354379
2MASXJ23284666+0330409,3284666+0330409
2MASXJ23351182+0334191,3351182+0334191
2MASXJ23531873+0343043,3531873+0343043
2MASXJ01082027+0217469,01082027+0217469
2MASXJ01105324+0237073,01105324+0237073
2MASXJ02033040+0233584,02033040+0233584
2MASXJ02231063+0259329,02231063+0259329
2MASXJ02302446+0212215,02302446+0212215
2MASXJ02315184+0203007,02315184+0203007
2MASXJ02354657+0234303,02354657+0234303
2MASXJ02384802+0213026,02384802+0213026
2MASXJ02392473+0243436,02392473+0243436
2MASXJ02463512+0207046,02463512+0207046
2MASXJ02553052+0216117,02553052+0216117
2MASXJ03191950+0232244,03191950+0232244
2MASXJ04015566+0254521,04015566+0254521
2MASXJ08572051+0255171,08572051+0255171
2MASXJ09095919+0244008,09095919+0244008
2MASXJ09294114+0212198,09294114+0212198
2MASXJ09294632+0203522,09294632+0203522
2MASXJ10332103+0236582,10332103+0236582
2MASXJ10495789+0224265,10495789+0224265
2MASXJ11203472+0248525,11203472+0248525
2MASXJ11234936+0242048,11234936+0242048
2MASXJ11245243+0224318,11245243+0224318
2MASXJ11251718+0226486,11251718+0226486
2MASXJ12185355+0259323,12185355+0259323
2MASXJ13165038+0259440,13165038+0259440
2MASXJ13393528+0223434,13393528+0223434
2MASXJ13415397+0204454,13415397+0204454
2MASXJ13464720+0207121,13464720+0207121
2MASXJ13503381+0213564,13503381+0213564
2MASXJ14011826+0259483,14011826+0259483
2MASXJ14461287+0218372,14461287+0218372
2MASXJ15083966+0258203,15083966+0258203
2MASXJ16023963+0259348,16023963+0259348
2MASXJ21224894+0207332,1224894+0207332
2MASXJ21312413+0229285,1312413+0229285
2MASXJ21530405+0228583,1530405+0228583
2MASXJ22105172+0206205,105172+0206205
2MASXJ22353739+0253283,353739+0253283
2MASXJ22354560+0257293,354560+0257293
2MASXJ22363730+0201520,363730+0201520
2MASXJ22384498+0256552,384498+0256552
2MASXJ22543862+0243055,543862+0243055
2MASXJ22593337+0237355,593337+0237355
2MASXJ23051361+0232576,3051361+0232576
2MASXJ01055506+0128406,01055506+0128406
2MASXJ01251108+0158570,01251108+0158570
2MASXJ02081376+0121007,02081376+0121007
2MASXJ02242927+0150281,02242927+0150281
2MASXJ02295777+0150561,02295777+0150561
2MASXJ02302633+0155115,02302633+0155115
2MASXJ02312015+0150085,02312015+0150085
2MASXJ02331843+0119126,02331843+0119126
2MASXJ02333157+0108236,02333157+0108236
2MASXJ02334480+0117356,02334480+0117356
2MASXJ02340500+0121058,02340500+0121058
2MASXJ02360987+0147169,02360987+0147169
2MASXJ02373294+0139069,02373294+0139069
2MASXJ02385356+0155123,02385356+0155123
2MASXJ02564117+0132326,02564117+0132326
2MASXJ03105684+0124562,03105684+0124562
2MASXJ03125707+0138442,03125707+0138442
2MASXJ03323745+0122569,03323745+0122569
2MASXJ08220513+0103515,08220513+0103515
2MASXJ09474019+0136009,09474019+0136009
2MASXJ09484711+0103117,09484711+0103117
2MASXJ09492289+0108437,09492289+0108437
2MASXJ10272503+0114300,10272503+0114300
2MASXJ10575260+0152038,10575260+0152038
2MASXJ10583696+0125173,10583696+0125173
2MASXJ10591073+0136222,10591073+0136222
2MASXJ11013147+0145269,11013147+0145269
2MASXJ11020728+0145478,11020728+0145478
2MASXJ11104340+0113396,11104340+0113396
2MASXJ11125425+0122165,11125425+0122165
2MASXJ11143859+0116414,11143859+0116414
2MASXJ11161204+0114189,11161204+0114189
2MASXJ11212726+0131522,11212726+0131522
2MASXJ11251432+0147546,11251432+0147546
2MASXJ11590521+0154362,11590521+0154362
2MASXJ12083125+0154339,12083125+0154339
2MASXJ12433356+0148371,12433356+0148371
2MASXJ12444025+0150551,12444025+0150551
2MASXJ13112823+0133316,13112823+0133316
2MASXJ13130864+0109121,13130864+0109121
2MASXJ13152158+0155394,13152158+0155394
2MASXJ13184008+0154510,13184008+0154510
2MASXJ13205612+0130134,13205612+0130134
2MASXJ14430777+0105599,14430777+0105599
2MASXJ15094044+0123098,15094044+0123098
2MASXJ15532795+0120539,15532795+0120539
2MASXJ20585913+0125174,0585913+0125174
2MASXJ21234622+0119191,1234622+0119191
2MASXJ21502408+0106591,1502408+0106591
2MASXJ22132207+0157502,132207+0157502
2MASXJ22422621+0111521,422621+0111521
2MASXJ22522047+0120462,522047+0120462
2MASXJ22564391+0151287,564391+0151287
2MASXJ23045467+0144116,3045467+0144116
2MASXJ23204954+0144202,3204954+0144202
2MASXJ23241975+0126293,3241975+0126293
2MASXJ23592217+0152330,3592217+0152330
2MASXJ01133302+0029486,01133302+0029486
2MASXJ01202949+0035084,01202949+0035084
2MASXJ01232514+0045191,01232514+0045191
2MASXJ01555034+0043196,01555034+0043196
2MASXJ03265015+0011549,03265015+0011549
2MASXJ03302529+0016253,03302529+0016253
2MASXJ03532619+0050302,03532619+0050302
2MASXJ04020235+0007401,04020235+0007401
2MASXJ09532024+0041515,09532024+0041515
2MASXJ09590714+0000385,09590714+0000385
2MASXJ10022251+0033307,10022251+0033307
2MASXJ10024578+0031505,10024578+0031505
2MASXJ10513224+0015262,10513224+0015262
2MASXJ11183584+0025112,11183584+0025112
2MASXJ14500368+0005506,14500368+0005506
